open,close,high,low,value,volume,begin,end
329.49,331.31,345.87,325.73,28777553350.83,85606616.0,2023-11-16,2023-11-16 23:59:59
330.0,327.83,336.7,325.0,15429010779.49,46719627.0,2023-11-17,2023-11-17 23:59:59
327.85,315.01,331.29,314.02,11215593953.28,34894682.0,2023-11-20,2023-11-20 23:59:59
315.01,327.38,329.0,305.6,16693609041.02,52609639.0,2023-11-21,2023-11-21 23:59:59
327.55,314.1,335.64,310.28,20227118899.42,62700781.0,2023-11-22,2023-11-22 23:59:59
313.6,313.6,319.8,307.6,11828805774.82,37632571.0,2023-11-23,2023-11-23 23:59:59
313.64,309.54,314.99,305.29,6645051783.34,21515701.0,2023-11-24,2023-11-24 23:59:59
309.5,291.6,309.94,291.55,10837626588.94,36281498.0,2023-11-27,2023-11-27 23:59:59
290.5,303.44,304.29,280.0,14699009790.6,50432568.0,2023-11-28,2023-11-28 23:59:59
304.94,286.43,305.1,286.43,9674254063.06,32746734.0,2023-11-29,2023-11-29 23:59:59
289.59,292.42,296.0,283.43,7426681427.4,25529566.0,2023-11-30,2023-11-30 23:59:59
293.84,287.7,295.14,285.0,4543005433.57,15660198.0,2023-12-01,2023-12-01 23:59:59
286.9,284.56,291.6,281.5,4799381835.66,16747778.0,2023-12-04,2023-12-04 23:59:59
284.64,279.46,288.46,275.95,5809818017.72,20650421.0,2023-12-05,2023-12-05 23:59:59
279.79,269.07,280.78,268.1,5246923392.56,19237238.0,2023-12-06,2023-12-06 23:59:59
269.07,275.88,279.6,261.93,8799690555.6,32562802.0,2023-12-07,2023-12-07 23:59:59
277.0,277.5,285.36,271.84,7958759571.03,28548616.0,2023-12-08,2023-12-08 23:59:59
277.9,278.38,282.31,272.3,5006347959.24,18122420.0,2023-12-11,2023-12-11 23:59:59
280.1,270.54,282.0,269.0,4167884111.84,15088025.0,2023-12-12,2023-12-12 23:59:59
270.54,271.48,273.9,266.27,2900940289.06,10742212.0,2023-12-13,2023-12-13 23:59:59
271.52,275.15,280.93,271.01,5451106865.92,19718650.0,2023-12-14,2023-12-14 23:59:59
275.22,290.0,290.0,275.15,5531769977.84,19544073.0,2023-12-15,2023-12-15 23:59:59
293.0,296.54,298.7,290.12,5320415660.03,18024012.0,2023-12-18,2023-12-18 23:59:59
296.61,291.69,296.78,287.28,4315166439.72,14811067.0,2023-12-19,2023-12-19 23:59:59
291.7,290.27,293.29,287.6,2149323598.22,7422237.0,2023-12-20,2023-12-20 23:59:59
290.6,301.74,303.75,285.69,6066461889.69,20618379.0,2023-12-21,2023-12-21 23:59:59
302.74,311.65,313.0,299.28,7803316377.72,25385270.0,2023-12-22,2023-12-22 23:59:59
313.9,311.37,317.83,307.9,4870992236.6,15568635.0,2023-12-25,2023-12-25 23:59:59
311.37,312.4,314.2,306.72,2483235673.41,7994338.0,2023-12-26,2023-12-26 23:59:59
312.5,309.11,313.74,309.1,1730180407.79,5571776.0,2023-12-27,2023-12-27 23:59:59
309.0,310.99,312.33,306.61,1680495943.12,5433307.0,2023-12-28,2023-12-28 23:59:59
312.0,311.0,313.0,308.88,1275935457.73,4103307.0,2023-12-29,2023-12-29 23:59:59
311.03,326.74,326.74,311.03,3991271026.42,12429476.0,2024-01-03,2024-01-03 23:59:59
327.68,326.9,329.39,323.1,3317989885.19,10175769.0,2024-01-04,2024-01-04 23:59:59
328.0,328.46,328.49,325.0,1204347798.29,3683364.0,2024-01-05,2024-01-05 23:59:59
328.99,326.37,334.28,323.57,4222663733.64,12827944.0,2024-01-08,2024-01-08 23:59:59
328.0,332.88,333.54,324.22,2641464138.48,8029246.0,2024-01-09,2024-01-09 23:59:59
333.0,325.4,333.71,324.33,2670642013.58,8127257.0,2024-01-10,2024-01-10 23:59:59
325.4,322.35,326.9,318.6,3555732120.54,11022840.0,2024-01-11,2024-01-11 23:59:59
322.4,318.2,323.75,315.6,2747167734.06,8599879.0,2024-01-12,2024-01-12 23:59:59
318.3,316.0,319.9,314.52,1892973480.11,5982028.0,2024-01-15,2024-01-15 23:59:59
316.0,322.36,323.59,313.6,2852459607.49,8954924.0,2024-01-16,2024-01-16 23:59:59
322.29,320.29,326.43,319.42,2799588128.55,8666004.0,2024-01-17,2024-01-17 23:59:59
321.0,318.19,322.3,317.11,1628244885.14,5097134.0,2024-01-18,2024-01-18 23:59:59
317.85,318.48,319.0,315.04,1717183789.37,5422062.0,2024-01-19,2024-01-19 23:59:59
318.8,310.87,319.68,310.57,2732273143.74,8687752.0,2024-01-22,2024-01-22 23:59:59
309.9,305.96,309.9,304.1,3328103559.05,10851938.0,2024-01-23,2024-01-23 23:59:59
305.61,297.81,309.74,295.66,5513528170.48,18313629.0,2024-01-24,2024-01-24 23:59:59
296.03,303.89,304.67,291.6,4273836095.26,14311419.0,2024-01-25,2024-01-25 23:59:59
305.0,301.78,306.78,300.8,2250162440.26,7423228.0,2024-01-26,2024-01-26 23:59:59
302.53,298.29,303.59,297.3,2127604278.87,7106627.0,2024-01-29,2024-01-29 23:59:59
298.0,314.48,314.85,295.66,5568037376.55,18093408.0,2024-01-30,2024-01-30 23:59:59
315.32,319.88,322.42,314.5,6774280003.83,21217586.0,2024-01-31,2024-01-31 23:59:59
320.05,317.61,322.35,315.7,2937362515.95,9210603.0,2024-02-01,2024-02-01 23:59:59
317.55,318.69,320.8,313.4,2947216112.54,9288524.0,2024-02-02,2024-02-02 23:59:59
319.5,328.77,329.0,319.0,5089067212.33,15639794.0,2024-02-05,2024-02-05 23:59:59
329.2,323.24,329.57,322.1,3075733523.39,9452357.0,2024-02-06,2024-02-06 23:59:59
323.0,321.4,325.99,319.2,2533876787.37,7875779.0,2024-02-07,2024-02-07 23:59:59
321.99,317.94,325.79,317.15,3393848896.17,10551723.0,2024-02-08,2024-02-08 23:59:59
316.8,315.1,318.24,312.0,3023573591.33,9594124.0,2024-02-09,2024-02-09 23:59:59
315.5,315.39,319.29,312.67,1715077571.59,5428371.0,2024-02-12,2024-02-12 23:59:59
315.86,319.17,319.9,314.6,1646612988.74,5185453.0,2024-02-13,2024-02-13 23:59:59
319.0,317.55,321.35,317.01,1441670518.1,4518086.0,2024-02-14,2024-02-14 23:59:59
317.45,314.89,317.45,313.17,1750005245.65,5557489.0,2024-02-15,2024-02-15 23:59:59
315.3,310.51,316.2,309.5,2066553063.16,6607610.0,2024-02-16,2024-02-16 23:59:59
311.2,313.09,315.38,308.76,1787212276.31,5714779.0,2024-02-19,2024-02-19 23:59:59
313.3,305.39,316.5,305.06,4383731129.5,14076314.0,2024-02-20,2024-02-20 23:59:59
305.38,281.76,307.94,276.33,9771596995.95,33668319.0,2024-02-21,2024-02-21 23:59:59
282.5,276.71,285.67,270.5,8768782488.8,31704688.0,2024-02-22,2024-02-22 23:59:59
266.6,279.91,280.47,262.4,5748055834.92,20999449.0,2024-02-26,2024-02-26 23:59:59
281.0,281.65,288.69,278.21,5377876411.77,18988454.0,2024-02-27,2024-02-27 23:59:59
281.41,278.58,282.98,277.0,2608360174.5,9307189.0,2024-02-28,2024-02-28 23:59:59
278.75,271.44,278.8,270.31,2812161953.14,10233086.0,2024-02-29,2024-02-29 23:59:59
272.0,278.95,279.74,271.16,2563793417.5,9307660.0,2024-03-01,2024-03-01 23:59:59
281.1,285.99,287.48,279.67,3614985567.21,12694442.0,2024-03-04,2024-03-04 23:59:59
287.8,284.27,288.0,283.21,1484446214.1,5210273.0,2024-03-05,2024-03-05 23:59:59
284.4,282.1,284.75,281.35,1302199118.43,4604824.0,2024-03-06,2024-03-06 23:59:59
281.86,281.4,283.88,280.12,1238796852.22,4396680.0,2024-03-07,2024-03-07 23:59:59
282.0,290.19,291.99,282.0,2111705723.78,7390710.0,2024-03-11,2024-03-11 23:59:59
290.28,300.39,303.49,288.05,6645125086.29,22396075.0,2024-03-12,2024-03-12 23:59:59
301.0,294.63,303.99,293.07,4425520505.78,14833754.0,2024-03-13,2024-03-13 23:59:59
294.64,295.0,297.28,289.21,3852132962.28,13109233.0,2024-03-14,2024-03-14 23:59:59
295.0,292.83,297.71,291.1,1686247746.4,5730223.0,2024-03-15,2024-03-15 23:59:59
293.8,290.87,294.77,288.2,1602800623.11,5498568.0,2024-03-18,2024-03-18 23:59:59
290.6,293.97,297.8,289.55,3431071572.33,11654057.0,2024-03-19,2024-03-19 23:59:59
294.92,287.01,296.31,285.12,2782921518.96,9607268.0,2024-03-20,2024-03-20 23:59:59
287.01,287.51,289.09,283.02,1995333121.15,6979008.0,2024-03-21,2024-03-21 23:59:59
287.6,279.62,288.9,276.24,2238994796.16,7931445.0,2024-03-22,2024-03-22 23:59:59
279.59,279.06,281.99,274.22,2453623341.24,8822694.0,2024-03-25,2024-03-25 23:59:59
280.0,278.54,282.43,277.1,1143299030.62,4089377.0,2024-03-26,2024-03-26 23:59:59
279.5,277.21,282.11,275.8,1226063140.34,4405268.0,2024-03-27,2024-03-27 23:59:59
277.99,276.48,278.03,273.6,1420072334.62,5151458.0,2024-03-28,2024-03-28 23:59:59
276.49,277.04,278.95,275.16,981676174.81,3541959.0,2024-03-29,2024-03-29 23:59:59
278.44,288.9,288.9,278.05,2375560028.07,8366254.0,2024-04-01,2024-04-01 23:59:59
289.87,285.64,290.3,282.5,1849677904.61,6457139.0,2024-04-02,2024-04-02 23:59:59
286.0,286.25,289.84,282.13,1616089439.07,5665921.0,2024-04-03,2024-04-03 23:59:59
287.44,283.96,288.38,283.5,956281108.57,3351988.0,2024-04-04,2024-04-04 23:59:59
283.45,283.67,287.87,279.27,1683697553.5,5928618.0,2024-04-05,2024-04-05 23:59:59
284.47,285.56,287.9,284.07,986174480.27,3449987.0,2024-04-08,2024-04-08 23:59:59
286.0,282.06,286.47,280.73,1224488513.51,4320796.0,2024-04-09,2024-04-09 23:59:59
281.0,284.24,284.5,278.55,1336080933.31,4738046.0,2024-04-10,2024-04-10 23:59:59
284.09,280.32,284.09,279.35,1142924134.67,4062497.0,2024-04-11,2024-04-11 23:59:59
280.11,277.88,281.35,276.67,1527671711.53,5492514.0,2024-04-12,2024-04-12 23:59:59
277.88,278.46,279.4,274.5,1273145581.03,4597948.0,2024-04-15,2024-04-15 23:59:59
278.97,277.09,280.13,275.96,863454366.62,3108493.0,2024-04-16,2024-04-16 23:59:59
276.74,274.09,277.99,272.0,1359576891.71,4950834.0,2024-04-17,2024-04-17 23:59:59
274.1,272.71,276.42,271.01,1127686635.24,4138671.0,2024-04-18,2024-04-18 23:59:59
272.0,274.2,276.8,271.23,977951051.98,3563769.0,2024-04-19,2024-04-19 23:59:59
274.51,272.63,275.94,271.5,1028997518.49,3762234.0,2024-04-22,2024-04-22 23:59:59
272.27,270.1,273.9,269.0,1237893520.64,4573174.0,2024-04-23,2024-04-23 23:59:59
269.11,271.98,274.84,266.25,2401816124.15,8837206.0,2024-04-24,2024-04-24 23:59:59
273.0,268.33,274.29,267.5,1210612807.33,4486803.0,2024-04-25,2024-04-25 23:59:59
267.91,267.9,270.3,267.0,1005328013.66,3743911.0,2024-04-26,2024-04-26 23:59:59
267.9,264.44,268.49,262.11,1955163106.56,7384079.0,2024-04-27,2024-04-27 23:59:59
264.99,257.22,265.19,255.53,2720352745.64,10525095.0,2024-04-29,2024-04-29 23:59:59
257.22,252.57,257.49,251.05,1732779391.96,6832760.0,2024-04-30,2024-04-30 23:59:59
251.3,244.0,253.99,241.1,2815126214.96,11426136.0,2024-05-02,2024-05-02 23:59:59
243.48,244.24,247.66,242.41,2124054974.79,8664080.0,2024-05-03,2024-05-03 23:59:59
244.9,245.96,247.77,244.0,1246131712.68,5065740.0,2024-05-06,2024-05-06 23:59:59
245.9,245.99,247.34,242.64,989718056.69,4027064.0,2024-05-07,2024-05-07 23:59:59
246.0,245.68,246.79,244.16,653833004.6,2664276.0,2024-05-08,2024-05-08 23:59:59
245.44,256.25,256.96,245.34,3012154958.02,11958309.0,2024-05-10,2024-05-10 23:59:59
257.3,252.46,262.26,250.66,3540610220.26,13801485.0,2024-05-13,2024-05-13 23:59:59
252.46,249.32,253.42,247.4,1342287116.16,5390124.0,2024-05-14,2024-05-14 23:59:59
249.22,251.64,252.78,248.39,1088828559.89,4330446.0,2024-05-15,2024-05-15 23:59:59
252.19,249.95,252.69,247.77,911759123.1,3650083.0,2024-05-16,2024-05-16 23:59:59
250.0,248.68,250.14,246.41,733502745.13,2956284.0,2024-05-17,2024-05-17 23:59:59
248.36,241.84,248.54,241.45,1399216808.52,5737227.0,2024-05-20,2024-05-20 23:59:59
240.97,243.69,244.25,235.1,1788596190.34,7443214.0,2024-05-21,2024-05-21 23:59:59
243.9,238.11,245.99,238.1,1496233795.89,6161172.0,2024-05-22,2024-05-22 23:59:59
238.93,234.52,239.69,230.98,1753193329.22,7449068.0,2024-05-23,2024-05-23 23:59:59
234.7,227.0,235.5,225.86,1718014705.38,7476528.0,2024-05-24,2024-05-24 23:59:59
227.0,216.06,228.39,212.2,3047405846.87,13912055.0,2024-05-27,2024-05-27 23:59:59
216.0,220.0,225.35,214.02,2838947113.96,12851637.0,2024-05-28,2024-05-28 23:59:59
220.0,227.8,229.23,216.74,1718220050.25,7751140.0,2024-05-29,2024-05-29 23:59:59
227.8,223.3,233.33,220.1,1935910840.15,8558829.0,2024-05-30,2024-05-30 23:59:59
223.0,215.73,226.85,214.8,1770485086.99,8040986.0,2024-05-31,2024-05-31 23:59:59
216.0,217.44,219.0,206.27,2940559264.07,13834128.0,2024-06-03,2024-06-03 23:59:59
216.78,217.66,220.97,214.08,1918032080.84,8838117.0,2024-06-04,2024-06-04 23:59:59
218.66,227.99,229.99,217.67,7160031337.97,31726504.0,2024-06-05,2024-06-05 23:59:59
228.66,228.1,231.75,225.0,3444688100.33,15077067.0,2024-06-06,2024-06-06 23:59:59
227.73,229.0,231.49,226.61,1964474398.26,8565934.0,2024-06-07,2024-06-07 23:59:59
231.49,226.8,236.69,223.23,2686942800.87,11570194.0,2024-06-10,2024-06-10 23:59:59
226.2,221.9,226.78,217.45,2941821433.79,13281983.0,2024-06-11,2024-06-11 23:59:59
214.24,227.04,229.0,201.9,1977860983.06,8957873.0,2024-06-13,2024-06-13 23:59:59
227.04,228.73,230.46,223.05,1110784311.08,4900335.0,2024-06-14,2024-06-14 23:59:59
229.5,226.53,233.96,225.24,1333611595.32,5804707.0,2024-06-17,2024-06-17 23:59:59
226.0,223.48,227.41,219.46,1685281189.9,7515544.0,2024-06-18,2024-06-18 23:59:59
222.58,217.92,224.44,216.59,1500591839.58,6817213.0,2024-06-19,2024-06-19 23:59:59
218.05,225.78,226.0,217.33,1416598887.32,6383781.0,2024-06-20,2024-06-20 23:59:59
226.46,223.98,228.49,221.65,1259729091.87,5580265.0,2024-06-21,2024-06-21 23:59:59
223.08,221.6,224.77,220.78,491543229.32,2207734.0,2024-06-24,2024-06-24 23:59:59
221.7,223.38,224.22,219.53,1199479568.52,5415217.0,2024-06-25,2024-06-25 23:59:59
223.39,224.29,225.64,219.88,1084134647.66,4859000.0,2024-06-26,2024-06-26 23:59:59
224.28,218.01,224.75,216.7,2080161884.24,9493909.0,2024-06-27,2024-06-27 23:59:59
217.53,218.2,220.0,216.02,1139989467.41,5227978.0,2024-06-28,2024-06-28 23:59:59
218.15,218.49,219.57,217.71,1001860677.79,4590719.0,2024-07-01,2024-07-01 23:59:59
219.2,217.45,219.24,216.76,746054441.99,3423719.0,2024-07-02,2024-07-02 23:59:59
217.15,211.39,219.9,211.01,2358642777.23,10924203.0,2024-07-03,2024-07-03 23:59:59
210.53,207.69,210.86,204.25,2125251571.72,10233736.0,2024-07-04,2024-07-04 23:59:59
207.4,215.13,215.95,204.73,2270083646.6,10727785.0,2024-07-05,2024-07-05 23:59:59
215.0,209.62,216.48,208.84,1491024561.62,7013255.0,2024-07-08,2024-07-08 23:59:59
209.0,197.48,209.35,197.45,1829038219.36,9005004.0,2024-07-09,2024-07-09 23:59:59
197.0,181.99,199.0,180.22,2569801089.05,13461339.0,2024-07-10,2024-07-10 23:59:59
181.0,193.75,195.0,179.54,2088635729.61,11025122.0,2024-07-11,2024-07-11 23:59:59
194.0,188.2,194.74,183.13,1936482856.05,10315609.0,2024-07-12,2024-07-12 23:59:59
189.0,180.93,190.65,180.57,1208592978.22,6572056.0,2024-07-15,2024-07-15 23:59:59
180.57,177.97,182.35,169.63,3460639426.88,19758076.0,2024-07-16,2024-07-16 23:59:59
177.72,177.35,182.6,174.64,2013131527.12,11268597.0,2024-07-17,2024-07-17 23:59:59
177.1,184.75,184.96,175.59,1734993161.01,9635669.0,2024-07-18,2024-07-18 23:59:59
185.0,185.85,188.0,181.53,1565868375.7,8462470.0,2024-07-19,2024-07-19 23:59:59
186.33,186.47,188.9,182.5,1183175912.4,6361762.0,2024-07-22,2024-07-22 23:59:59
186.45,183.67,186.45,182.5,784637069.41,4272865.0,2024-07-23,2024-07-23 23:59:59
183.66,186.21,186.9,181.2,918350422.66,4970944.0,2024-07-24,2024-07-24 23:59:59
186.71,187.67,188.5,185.11,1010045003.25,5402588.0,2024-07-25,2024-07-25 23:59:59
187.73,177.41,191.3,176.0,2611435714.61,14298420.0,2024-07-26,2024-07-26 23:59:59
176.0,170.34,176.38,169.13,2299361428.38,13403146.0,2024-07-29,2024-07-29 23:59:59
169.7,172.19,172.92,168.04,1095001554.13,6404056.0,2024-07-30,2024-07-30 23:59:59
172.12,173.0,173.8,169.55,1222802609.87,7121209.0,2024-07-31,2024-07-31 23:59:59
173.0,167.52,174.95,166.46,1739489644.68,10213707.0,2024-08-01,2024-08-01 23:59:59
167.52,164.92,169.84,162.2,2318591914.78,14067721.0,2024-08-02,2024-08-02 23:59:59
162.45,150.86,162.8,150.75,3488559298.28,22368007.0,2024-08-05,2024-08-05 23:59:59
152.6,149.94,156.1,146.28,4046358680.27,26861672.0,2024-08-06,2024-08-06 23:59:59
150.51,156.72,159.62,145.0,5504968772.4,36103466.0,2024-08-07,2024-08-07 23:59:59
156.72,152.75,158.4,150.72,3964018310.52,25581026.0,2024-08-08,2024-08-08 23:59:59
152.0,151.48,153.01,149.4,2086994069.02,13823584.0,2024-08-09,2024-08-09 23:59:59
150.98,154.48,154.98,148.52,2790205946.76,18383852.0,2024-08-12,2024-08-12 23:59:59
154.52,156.2,157.97,153.09,1871270610.83,12018914.0,2024-08-13,2024-08-13 23:59:59
156.86,152.98,159.8,150.71,2829105503.77,18178987.0,2024-08-14,2024-08-14 23:59:59
152.23,150.2,153.8,150.0,1794216737.84,11851816.0,2024-08-15,2024-08-15 23:59:59
150.29,149.06,151.2,148.0,1701922681.31,11421317.0,2024-08-16,2024-08-16 23:59:59
149.06,142.13,149.72,139.53,3784999140.66,26263744.0,2024-08-19,2024-08-19 23:59:59
142.12,138.04,143.41,136.54,3826487303.39,27479739.0,2024-08-20,2024-08-20 23:59:59
137.53,131.88,138.87,131.1,4219844687.77,31475574.0,2024-08-21,2024-08-21 23:59:59
131.6,121.25,136.98,119.8,13528260247.26,104946759.0,2024-08-22,2024-08-22 23:59:59
120.6,114.03,121.2,103.48,18234893328.57,162785051.0,2024-08-23,2024-08-23 23:59:59
